,action_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,game_date,matchup,opponent,shot_id,time_remaining
1,0,-157,0,10,1,0,4,22,15,0.0,1,0,1458,0,0,2,622
2,0,-101,135,7,1,0,4,45,16,1.0,2,0,1458,0,0,3,465
3,0,138,175,6,1,0,4,52,22,0.0,3,0,1458,0,0,4,412
4,1,0,0,6,2,0,4,19,0,1.0,4,1,1458,0,0,5,379
5,0,-145,-11,9,3,0,4,32,14,0.0,1,0,1458,0,0,6,572
6,2,0,0,8,3,0,4,52,0,1.0,4,1,1458,0,0,7,532
8,0,-65,108,6,3,0,4,12,12,1.0,1,2,1458,0,0,9,372
9,3,-33,125,3,3,0,4,36,12,0.0,4,2,1458,0,0,10,216
10,0,-94,238,1,3,0,4,56,25,0.0,2,3,1458,0,0,11,116
11,0,121,127,11,1,0,4,0,17,1.0,3,0,1459,1,1,12,660
12,3,-67,110,7,1,0,4,9,12,1.0,1,2,1459,1,1,13,429
13,0,-94,4,2,1,0,4,44,9,0.0,1,0,1459,1,1,14,164
14,0,-23,47,1,1,0,4,16,5,0.0,4,2,1459,1,1,15,76
15,0,62,192,0,1,0,4,48,20,0.0,4,0,1459,1,1,16,48
17,0,-117,226,8,2,0,4,50,25,1.0,2,3,1459,1,1,18,530
18,0,-132,97,11,3,0,4,29,16,0.0,2,0,1459,1,1,19,689
20,0,3,144,10,3,0,4,8,14,0.0,4,0,1459,1,1,21,608
21,0,134,127,9,3,0,4,4,18,0.0,3,0,1459,1,1,22,544
22,3,-16,110,7,3,0,4,57,11,1.0,4,2,1459,1,1,23,477
23,3,-109,150,5,3,0,4,47,18,1.0,2,0,1459,1,1,24,347
24,3,-46,63,5,3,0,4,11,7,1.0,4,2,1459,1,1,25,311
25,2,0,0,2,3,0,4,36,0,0.0,4,1,1459,1,1,26,156
26,0,-58,196,2,3,0,4,4,20,0.0,4,0,1459,1,1,27,124
27,0,-183,186,0,3,0,4,30,26,0.0,2,3,1459,1,1,28,30
28,0,85,173,8,4,0,4,19,19,0.0,3,0,1459,1,1,29,499
29,0,3,87,6,4,0,4,22,8,0.0,4,2,1459,1,1,30,382
30,3,121,4,1,4,0,4,20,12,1.0,0,0,1459,1,1,31,80
31,0,127,34,0,4,0,4,30,13,0.0,0,0,1459,1,1,32,30
38,0,91,184,3,2,0,4,30,20,1.0,3,0,1462,0,2,39,210
39,0,-27,272,0,2,0,4,4,27,1.0,4,3,1462,0,2,40,4
40,0,-176,66,11,3,0,4,12,18,0.0,1,0,1462,0,2,41,672
41,2,7,4,10,3,0,4,13,0,1.0,4,1,1462,0,2,42,613
42,0,150,133,8,3,0,4,59,20,1.0,3,0,1462,0,2,43,539
43,0,49,15,8,3,0,4,29,5,0.0,4,2,1462,0,2,44,509
45,2,-4,4,3,3,0,4,21,0,1.0,4,1,1462,0,2,46,201
46,6,-4,4,2,3,0,4,55,0,0.0,4,1,1462,0,2,47,175
47,7,1,9,2,3,0,4,38,0,1.0,4,1,1462,0,2,48,158
48,0,121,120,4,4,0,4,55,17,1.0,3,0,1462,0,2,49,295
50,2,1,9,1,4,0,4,8,0,0.0,4,1,1462,0,2,51,68
51,2,-12,9,1,4,0,4,6,1,0.0,4,1,1462,0,2,52,66
52,0,24,70,10,1,0,4,33,7,0.0,4,2,1463,1,3,53,633
53,0,-189,-4,10,1,0,4,4,18,0.0,1,0,1463,1,3,54,604
55,0,-155,194,2,1,0,4,33,24,0.0,2,3,1463,1,3,56,153
56,0,1,228,11,2,0,4,26,22,1.0,4,0,1463,1,3,57,686
57,4,0,0,8,2,0,4,40,0,1.0,4,1,1463,1,3,58,520
58,7,0,0,4,2,0,4,5,0,1.0,4,1,1463,1,3,59,245
60,0,-33,108,2,2,0,4,2,11,0.0,4,2,1463,1,3,61,122
61,2,22,49,0,2,0,4,47,5,1.0,4,2,1463,1,3,62,47
62,4,0,0,9,3,0,4,32,0,0.0,4,1,1463,1,3,63,572
63,4,56,21,0,3,0,4,37,5,0.0,4,2,1463,1,3,64,37
64,3,121,26,0,3,0,4,1,12,1.0,0,0,1463,1,3,65,1
67,0,231,57,8,1,0,4,17,23,0.0,0,4,1465,0,4,68,497
68,4,0,0,7,1,0,4,53,0,1.0,4,1,1465,0,4,69,473
69,1,0,0,7,1,0,4,1,0,1.0,4,1,1465,0,4,70,421
71,0,7,257,3,1,0,4,11,25,1.0,4,3,1465,0,4,72,191
72,4,0,0,7,2,0,4,56,0,1.0,4,1,1465,0,4,73,476
73,0,51,57,2,2,0,4,40,7,0.0,4,2,1465,0,4,74,160
74,0,167,190,0,2,0,4,10,25,0.0,3,3,1465,0,4,75,10
75,0,-119,190,11,3,0,4,2,22,1.0,2,0,1465,0,4,76,662
76,0,16,57,9,3,0,4,10,5,0.0,4,2,1465,0,4,77,550
77,0,-84,110,7,3,0,4,24,13,0.0,1,0,1465,0,4,78,444
78,0,-71,42,0,3,0,4,1,8,0.0,1,2,1465,0,4,79,1
80,0,30,133,5,4,0,4,1,13,1.0,4,2,1465,0,4,81,301
81,0,1,156,0,4,0,4,46,15,0.0,4,0,1465,0,4,82,46
82,0,132,211,11,1,0,4,41,24,0.0,3,3,1466,0,5,83,701
83,7,-8,4,10,1,0,4,59,0,0.0,4,1,1466,0,5,84,659
86,0,132,127,6,1,0,4,36,18,1.0,3,0,1466,0,5,87,396
87,0,-29,188,5,1,0,4,54,19,1.0,4,0,1466,0,5,88,354
88,0,140,76,2,1,0,4,24,15,1.0,0,0,1466,0,5,89,144
89,8,140,0,1,1,0,4,48,14,1.0,0,0,1466,0,5,90,108
90,0,-1,156,1,1,0,4,25,15,1.0,4,0,1466,0,5,91,85
91,0,-151,4,0,1,0,4,47,15,1.0,1,0,1466,0,5,92,47
92,0,110,76,10,2,0,4,57,13,0.0,0,0,1466,0,5,93,657
93,0,132,87,9,2,0,4,37,15,0.0,0,0,1466,0,5,94,577
95,0,-58,251,3,2,0,4,50,25,1.0,4,3,1466,0,5,96,230
96,0,-94,160,3,2,0,4,15,18,1.0,2,0,1466,0,5,97,195
97,0,-193,150,0,2,0,4,53,24,0.0,2,3,1466,0,5,98,53
98,0,140,0,0,2,0,4,48,14,1.0,0,0,1466,0,5,99,48
99,0,39,9,11,3,0,4,26,4,0.0,4,2,1466,0,5,100,686
100,0,24,150,9,3,0,4,20,15,0.0,4,0,1466,0,5,101,560
101,7,-1,0,7,3,0,4,53,0,1.0,4,1,1466,0,5,102,473
102,0,119,133,6,3,0,4,40,17,1.0,3,0,1466,0,5,103,400
104,0,119,19,3,3,0,4,0,12,0.0,0,0,1466,0,5,105,180
