action_type,loc_x,loc_y,period,playoffs,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,opponent,season,matchup,time_remaining,game_date
0,167,72,1,0,18,,0,0,0,4,0,627,1458
0,-157,0,1,0,15,0.0,1,0,0,4,0,622,1458
0,-101,135,1,0,16,1.0,2,0,0,4,0,465,1458
0,138,175,1,0,22,0.0,3,0,0,4,0,412,1458
1,0,0,2,0,0,1.0,4,1,0,4,0,379,1458
0,-145,-11,3,0,14,0.0,1,0,0,4,0,572,1458
2,0,0,3,0,0,1.0,4,1,0,4,0,532,1458
0,1,28,3,0,2,,4,1,0,4,0,485,1458
0,-65,108,3,0,12,1.0,1,2,0,4,0,372,1458
3,-33,125,3,0,12,0.0,4,2,0,4,0,216,1458
0,-94,238,3,0,25,0.0,2,3,0,4,0,116,1458
0,121,127,1,0,17,1.0,3,0,1,4,1,660,1459
3,-67,110,1,0,12,1.0,1,2,1,4,1,429,1459
0,-94,4,1,0,9,0.0,1,0,1,4,1,164,1459
0,-23,47,1,0,5,0.0,4,2,1,4,1,76,1459
0,62,192,1,0,20,0.0,4,0,1,4,1,48,1459
4,0,0,1,0,0,,4,1,1,4,1,1,1459
0,-117,226,2,0,25,1.0,2,3,1,4,1,530,1459
0,-132,97,3,0,16,0.0,2,0,1,4,1,689,1459
4,0,0,3,0,0,,4,1,1,4,1,646,1459
0,3,144,3,0,14,0.0,4,0,1,4,1,608,1459
0,134,127,3,0,18,0.0,3,0,1,4,1,544,1459
3,-16,110,3,0,11,1.0,4,2,1,4,1,477,1459
3,-109,150,3,0,18,1.0,2,0,1,4,1,347,1459
3,-46,63,3,0,7,1.0,4,2,1,4,1,311,1459
2,0,0,3,0,0,0.0,4,1,1,4,1,156,1459
0,-58,196,3,0,20,0.0,4,0,1,4,1,124,1459
0,-183,186,3,0,26,0.0,2,3,1,4,1,30,1459
0,85,173,4,0,19,0.0,3,0,1,4,1,499,1459
0,3,87,4,0,8,0.0,4,2,1,4,1,382,1459
3,121,4,4,0,12,1.0,0,0,1,4,1,80,1459
0,127,34,4,0,13,0.0,0,0,1,4,1,30,1459
0,163,76,1,0,17,,0,0,2,4,0,686,1462
0,70,194,1,0,20,,3,0,2,4,0,658,1462
2,1,19,1,0,1,,4,1,2,4,0,453,1462
2,-12,15,1,0,1,,4,1,2,4,0,358,1462
5,1,4,1,0,0,,4,1,2,4,0,249,1462
0,-117,116,2,0,16,,2,0,2,4,0,333,1462
0,91,184,2,0,20,1.0,3,0,2,4,0,210,1462
0,-27,272,2,0,27,1.0,4,3,2,4,0,4,1462
0,-176,66,3,0,18,0.0,1,0,2,4,0,672,1462
2,7,4,3,0,0,1.0,4,1,2,4,0,613,1462
0,150,133,3,0,20,1.0,3,0,2,4,0,539,1462
0,49,15,3,0,5,0.0,4,2,2,4,0,509,1462
2,-12,19,3,0,2,,4,1,2,4,0,269,1462
2,-4,4,3,0,0,1.0,4,1,2,4,0,201,1462
6,-4,4,3,0,0,0.0,4,1,2,4,0,175,1462
7,1,9,3,0,0,1.0,4,1,2,4,0,158,1462
0,121,120,4,0,17,1.0,3,0,2,4,0,295,1462
0,-176,30,4,0,17,,1,0,2,4,0,199,1462
2,1,9,4,0,0,0.0,4,1,2,4,0,68,1462
2,-12,9,4,0,1,0.0,4,1,2,4,0,66,1462
0,24,70,1,0,7,0.0,4,2,3,4,1,633,1463
0,-189,-4,1,0,18,0.0,1,0,3,4,1,604,1463
0,-141,247,1,0,28,,2,3,3,4,1,298,1463
0,-155,194,1,0,24,0.0,2,3,3,4,1,153,1463
0,1,228,2,0,22,1.0,4,0,3,4,1,686,1463
4,0,0,2,0,0,1.0,4,1,3,4,1,520,1463
7,0,0,2,0,0,1.0,4,1,3,4,1,245,1463
0,146,241,2,0,28,,3,3,3,4,1,190,1463
0,-33,108,2,0,11,0.0,4,2,3,4,1,122,1463
2,22,49,2,0,5,1.0,4,2,3,4,1,47,1463
4,0,0,3,0,0,0.0,4,1,3,4,1,572,1463
4,56,21,3,0,5,0.0,4,2,3,4,1,37,1463
3,121,26,3,0,12,1.0,0,0,3,4,1,1,1463
